year	seat	category	R_win	D_win	R_votes	D_votes
1994	state_assembly_district_68	state_assembly	0	1	7217	7750
1994	state_assembly_district_69	state_assembly	1	0	9086	5087
1994	state_assembly_district_70	state_assembly	0	1	7526	8193
1994	state_assembly_district_71	state_assembly	0	1	6392	7817
1994	state_assembly_district_72	state_assembly	0	1	0	10681
1994	state_assembly_district_73	state_assembly	0	1	0	10687
1994	state_assembly_district_74	state_assembly	0	1	0	12566
1994	state_assembly_district_75	state_assembly	0	1	0	9909
1994	state_assembly_district_76	state_assembly	0	1	8095	11637
1994	state_assembly_district_77	state_assembly	0	1	0	14504
1994	state_assembly_district_78	state_assembly	0	1	3581	11167
1994	state_assembly_district_79	state_assembly	1	0	11602	7903
1994	state_assembly_district_80	state_assembly	1	0	7879	6806
1994	state_assembly_district_81	state_assembly	0	1	8334	8965
1994	state_assembly_district_82	state_assembly	0	1	0	12027
1994	state_assembly_district_83	state_assembly	1	0	11538	6977
1994	state_assembly_district_84	state_assembly	1	0	13655	0
1994	state_assembly_district_85	state_assembly	0	1	5568	10446
1994	state_assembly_district_86	state_assembly	0	1	8250	8609
1994	state_assembly_district_87	state_assembly	0	1	5820	10690
1994	state_assembly_district_88	state_assembly	1	0	8223	6360
1994	state_assembly_district_89	state_assembly	1	0	10325	4742
1994	state_assembly_district_90	state_assembly	0	1	6760	8255
1994	state_assembly_district_91	state_assembly	0	1	0	11399
1994	state_assembly_district_92	state_assembly	1	0	11515	0
1994	state_assembly_district_93	state_assembly	1	0	10635	5885
1994	state_assembly_district_94	state_assembly	1	0	8690	8118
1994	state_assembly_district_95	state_assembly	0	1	4831	9408
1994	state_assembly_district_96	state_assembly	1	0	10318	4422
1994	state_assembly_district_97	state_assembly	0	1	4271	13576
1994	state_assembly_district_98	state_assembly	1	0	14926	0
1994	state_assembly_district_99	state_assembly	1	0	15912	0
1994	state_senate_district_1	state_senate	1	0	33503	16524
1994	state_senate_district_3	state_senate	0	1	11434	23015
1994	state_senate_district_5	state_senate	1	0	34117	19966
1994	state_senate_district_7	state_senate	0	1	0	33493
1994	state_senate_district_9	state_senate	0	1	0	34743
1994	state_senate_district_11	state_senate	1	0	34923	11490
1994	state_senate_district_13	state_senate	1	0	29391	13787
1994	state_senate_district_15	state_senate	1	0	29366	14799
1994	state_senate_district_17	state_senate	1	0	27644	15208
1994	state_senate_district_19	state_senate	1	0	34256	11104
1994	state_senate_district_21	state_senate	1	0	28356	17295
1994	state_senate_district_23	state_senate	1	0	29049	15666
1994	state_senate_district_25	state_senate	0	1	20136	26033
1994	state_senate_district_27	state_senate	0	1	27120	27320
1994	state_senate_district_29	state_senate	0	1	18791	31422
1994	state_senate_district_31	state_senate	0	1	21519	24477
1994	state_senate_district_33	state_senate	1	0	41431	16016
1996	US_house_district_1	US_house	1	0	118408	114148
1996	US_house_district_2	US_house	1	0	154557	110467
1996	US_house_district_3	US_house	0	1	112146	121967
1996	US_house_district_4	US_house	0	1	98438	134470
1996	US_house_district_5	US_house	0	1	47384	141179
1996	US_house_district_6	US_house	1	0	169213	55377
1996	US_house_district_7	US_house	0	1	103365	137428
1996	US_house_district_8	US_house	0	1	119398	129551
1996	US_house_district_9	US_house	1	0	197910	67740
1996	state_assembly_district_1	state_assembly	1	0	17593	0
1996	state_assembly_district_2	state_assembly	1	0	13345	9773
1996	state_assembly_district_3	state_assembly	1	0	15146	6728
1996	state_assembly_district_4	state_assembly	1	0	17713	0
1996	state_assembly_district_5	state_assembly	0	1	9670	12301
1996	state_assembly_district_6	state_assembly	1	0	12242	7485
1996	state_assembly_district_7	state_assembly	0	1	0	12295
1996	state_assembly_district_8	state_assembly	0	1	1508	6341
1996	state_assembly_district_9	state_assembly	0	1	0	14758
1996	state_assembly_district_10	state_assembly	0	1	0	11570
1996	state_assembly_district_11	state_assembly	0	1	0	12954
1996	state_assembly_district_12	state_assembly	0	1	3987	12606
1996	state_assembly_district_13	state_assembly	0	1	9058	12232
1996	state_assembly_district_14	state_assembly	1	0	15658	9792
1996	state_assembly_district_15	state_assembly	0	1	6326	13483
1996	state_assembly_district_16	state_assembly	0	1	0	8955
1996	state_assembly_district_17	state_assembly	0	1	0	13394
1996	state_assembly_district_18	state_assembly	0	1	0	6995
1996	state_assembly_district_19	state_assembly	0	1	0	14802
1996	state_assembly_district_20	state_assembly	0	1	0	15520
1996	state_assembly_district_21	state_assembly	0	1	6544	14020
1996	state_assembly_district_22	state_assembly	0	1	11526	15314
1996	state_assembly_district_23	state_assembly	0	1	8734	14186
1996	state_assembly_district_24	state_assembly	1	0	19343	7574
1996	state_assembly_district_25	state_assembly	0	1	0	14771
1996	state_assembly_district_26	state_assembly	0	1	8290	13301
1996	state_assembly_district_27	state_assembly	1	0	14226	7965
1996	state_assembly_district_28	state_assembly	0	1	9848	13222
1996	state_assembly_district_29	state_assembly	0	1	9797	9954
1996	state_assembly_district_30	state_assembly	1	0	13604	9861
1996	state_assembly_district_31	state_assembly	1	0	14214	8226
1996	state_assembly_district_32	state_assembly	1	0	14747	0
1996	state_assembly_district_33	state_assembly	1	0	20165	0
1996	state_assembly_district_34	state_assembly	1	0	17644	9022
1996	state_assembly_district_35	state_assembly	1	0	13851	7887
1996	state_assembly_district_36	state_assembly	1	0	12960	7391
1996	state_assembly_district_37	state_assembly	1	0	13104	8176
1996	state_assembly_district_38	state_assembly	1	0	15324	5658
1996	state_assembly_district_39	state_assembly	1	0	12157	7089
1996	state_assembly_district_40	state_assembly	1	0	13395	5500
1996	state_assembly_district_41	state_assembly	1	0	15042	0
1996	state_assembly_district_42	state_assembly	1	0	14391	7243
1996	state_assembly_district_43	state_assembly	1	0	13251	7350
1996	state_assembly_district_44	state_assembly	0	1	0	17957
1996	state_assembly_district_45	state_assembly	0	1	0	13224
1996	state_assembly_district_46	state_assembly	0	1	11786	12563
1996	state_assembly_district_47	state_assembly	1	0	13890	10598
1996	state_assembly_district_48	state_assembly	0	1	0	17587
1996	state_assembly_district_49	state_assembly	1	0	11560	6816
1996	state_assembly_district_50	state_assembly	1	0	16133	0
1996	state_assembly_district_51	state_assembly	1	0	13777	6291
1996	state_assembly_district_52	state_assembly	1	0	12728	6975
1996	state_assembly_district_53	state_assembly	1	0	15127	6407
1996	state_assembly_district_54	state_assembly	1	0	12753	8335
1996	state_assembly_district_55	state_assembly	1	0	16065	0
1996	state_assembly_district_56	state_assembly	1	0	16156	6282
1996	state_assembly_district_57	state_assembly	1	0	13343	7774
1996	state_assembly_district_58	state_assembly	1	0	16848	6908
1996	state_assembly_district_59	state_assembly	1	0	18216	0
1996	state_assembly_district_60	state_assembly	1	0	18738	6875
1996	state_assembly_district_61	state_assembly	0	1	0	10218
1996	state_assembly_district_62	state_assembly	0	1	8395	10765
1996	state_assembly_district_63	state_assembly	1	0	16520	6672
1996	state_assembly_district_64	state_assembly	0	1	4363	12867
1996	state_assembly_district_65	state_assembly	0	1	6817	13007
1996	state_assembly_district_66	state_assembly	1	0	15007	6215
1996	state_assembly_district_67	state_assembly	1	0	10381	9978
1996	state_assembly_district_68	state_assembly	1	0	11010	9758
1996	state_assembly_district_69	state_assembly	1	0	11621	7141
1996	state_assembly_district_70	state_assembly	0	1	8298	12957
1996	state_assembly_district_71	state_assembly	0	1	9249	12950
1996	state_assembly_district_72	state_assembly	0	1	8266	13619
1996	state_assembly_district_73	state_assembly	0	1	8465	13645
1996	state_assembly_district_74	state_assembly	0	1	0	15107
1996	state_assembly_district_75	state_assembly	0	1	0	15003
1996	state_assembly_district_76	state_assembly	0	1	10128	16337
1996	state_assembly_district_77	state_assembly	0	1	0	19257
1996	state_assembly_district_78	state_assembly	0	1	4842	15972
1996	state_assembly_district_79	state_assembly	1	0	14235	12670
1996	state_assembly_district_80	state_assembly	1	0	13730	7057
1996	state_assembly_district_81	state_assembly	0	1	9804	14349
1996	state_assembly_district_82	state_assembly	0	1	11843	12776
1996	state_assembly_district_83	state_assembly	1	0	17639	7793
1996	state_assembly_district_84	state_assembly	1	0	16201	7480
1996	state_assembly_district_85	state_assembly	0	1	6139	14628
1996	state_assembly_district_86	state_assembly	0	1	10218	12486
1996	state_assembly_district_87	state_assembly	0	1	10331	10715
1996	state_assembly_district_88	state_assembly	1	0	11067	0
1996	state_assembly_district_89	state_assembly	1	0	14113	7056
1996	state_assembly_district_90	state_assembly	0	1	9696	10682
1996	state_assembly_district_91	state_assembly	0	1	0	14850
1996	state_assembly_district_92	state_assembly	1	0	10321	9338
1996	state_assembly_district_93	state_assembly	1	0	14480	10000
1996	state_assembly_district_94	state_assembly	1	0	12648	10580
1996	state_assembly_district_95	state_assembly	0	1	7668	14051
1996	state_assembly_district_96	state_assembly	1	0	12783	7884
1996	state_assembly_district_97	state_assembly	0	1	0	18159
1996	state_assembly_district_98	state_assembly	1	0	19738	0
1996	state_assembly_district_99	state_assembly	1	0	22671	0
1996	state_senate_district_2	state_senate	1	0	40467	23849
1996	state_senate_district_4	state_senate	0	1	0	38018
1996	state_senate_district_6	state_senate	0	1	0	29236
1996	state_senate_district_8	state_senate	1	0	45244	29728
1996	state_senate_district_10	state_senate	0	1	30566	36052
1996	state_senate_district_12	state_senate	0	1	29838	40220
1996	state_senate_district_14	state_senate	1	0	44421	0
1996	state_senate_district_16	state_senate	0	1	32997	39618
1996	state_senate_district_18	state_senate	1	0	46721	16614
1996	state_senate_district_20	state_senate	1	0	54517	0
1996	state_senate_district_22	state_senate	0	1	25728	33847
1996	state_senate_district_24	state_senate	0	1	0	44933
1996	state_senate_district_26	state_senate	0	1	0	57499
1996	state_senate_district_28	state_senate	0	1	36286	39376
1996	state_senate_district_30	state_senate	1	0	32096	29872
1996	state_senate_district_32	state_senate	1	0	49357	16364
1998	US_house_district_1	US_house	1	0	108475	81164
1998	US_house_district_2	US_house	0	1	103635	116377
1998	US_house_district_3	US_house	0	1	51001	128256
1998	US_house_district_4	US_house	0	1	76666	105841
1998	US_house_district_5	US_house	0	1	33506	121129
1998	US_house_district_6	US_house	1	0	144144	0
1998	US_house_district_7	US_house	0	1	75049	115613
1998	US_house_district_8	US_house	1	0	112418	93441
1998	US_house_district_9	US_house	1	0	175533	0
1998	state_assembly_district_1	state_assembly	1	0	14864	0
1998	state_assembly_district_2	state_assembly	1	0	13348	6729
1998	state_assembly_district_3	state_assembly	1	0	15073	0
1998	state_assembly_district_4	state_assembly	1	0	10788	8645
1998	state_assembly_district_5	state_assembly	0	1	8752	8983
1998	state_assembly_district_6	state_assembly	1	0	11313	6127
1998	state_assembly_district_7	state_assembly	0	1	0	9788
1998	state_assembly_district_8	state_assembly	0	1	831	3801
1998	state_assembly_district_9	state_assembly	0	1	0	11418
1998	state_assembly_district_10	state_assembly	0	1	0	9287
1998	state_assembly_district_11	state_assembly	0	1	0	10431
1998	state_assembly_district_12	state_assembly	0	1	0	11012
1998	state_assembly_district_13	state_assembly	0	1	4344	11864
1998	state_assembly_district_14	state_assembly	1	0	14110	6750
1998	state_assembly_district_15	state_assembly	0	1	0	10940
1998	state_assembly_district_16	state_assembly	0	1	0	6694
1998	state_assembly_district_17	state_assembly	0	1	0	11288
1998	state_assembly_district_18	state_assembly	0	1	0	5716
1998	state_assembly_district_19	state_assembly	0	1	3852	10672
1998	state_assembly_district_20	state_assembly	0	1	6402	9845
1998	state_assembly_district_21	state_assembly	0	1	5869	12499
1998	state_assembly_district_22	state_assembly	0	1	6332	15562
1998	state_assembly_district_23	state_assembly	0	1	6500	12211
1998	state_assembly_district_24	state_assembly	1	0	18065	0
1998	state_assembly_district_25	state_assembly	0	1	0	11893
1998	state_assembly_district_26	state_assembly	1	0	10610	7613
1998	state_assembly_district_27	state_assembly	1	0	10679	7901
1998	state_assembly_district_28	state_assembly	1	0	9742	9658
1998	state_assembly_district_29	state_assembly	0	1	6535	7615
1998	state_assembly_district_30	state_assembly	1	0	9755	7272
1998	state_assembly_district_31	state_assembly	1	0	11620	6299
1998	state_assembly_district_32	state_assembly	1	0	13338	0
1998	state_assembly_district_33	state_assembly	1	0	17577	0
1998	state_assembly_district_34	state_assembly	1	0	14625	6767
1998	state_assembly_district_35	state_assembly	1	0	12651	0
1998	state_assembly_district_36	state_assembly	1	0	11289	7129
1998	state_assembly_district_37	state_assembly	1	0	12686	0
1998	state_assembly_district_38	state_assembly	1	0	13356	4438
1998	state_assembly_district_39	state_assembly	1	0	12253	0
1998	state_assembly_district_40	state_assembly	1	0	15298	0
1998	state_assembly_district_41	state_assembly	1	0	13475	0
1998	state_assembly_district_42	state_assembly	1	0	10090	7237
1998	state_assembly_district_43	state_assembly	1	0	11119	6203
1998	state_assembly_district_44	state_assembly	0	1	0	15621
1998	state_assembly_district_45	state_assembly	0	1	6215	7953
1998	state_assembly_district_46	state_assembly	0	1	6892	13235
1998	state_assembly_district_47	state_assembly	1	0	13166	7489
1998	state_assembly_district_48	state_assembly	0	1	6224	13498
1998	state_assembly_district_49	state_assembly	1	0	9676	0
1998	state_assembly_district_50	state_assembly	1	0	12511	0
1998	state_assembly_district_51	state_assembly	1	0	11417	0
1998	state_assembly_district_52	state_assembly	1	0	7919	7102
1998	state_assembly_district_53	state_assembly	1	0	15390	0
1998	state_assembly_district_54	state_assembly	1	0	10031	6374
1998	state_assembly_district_55	state_assembly	1	0	12296	0
1998	state_assembly_district_56	state_assembly	1	0	15091	0
1998	state_assembly_district_57	state_assembly	1	0	12592	0
1998	state_assembly_district_58	state_assembly	1	0	16083	0
1998	state_assembly_district_59	state_assembly	1	0	15074	0
1998	state_assembly_district_60	state_assembly	1	0	17375	0
1998	state_assembly_district_61	state_assembly	0	1	0	9515
1998	state_assembly_district_62	state_assembly	0	1	6818	9771
1998	state_assembly_district_63	state_assembly	1	0	14328	5588
1998	state_assembly_district_64	state_assembly	0	1	4328	11488
1998	state_assembly_district_65	state_assembly	0	1	6190	11979
1998	state_assembly_district_66	state_assembly	1	0	13337	0
1998	state_assembly_district_67	state_assembly	1	0	9823	6895
1998	state_assembly_district_68	state_assembly	0	1	7758	8210
1998	state_assembly_district_69	state_assembly	1	0	9504	6210
1998	state_assembly_district_70	state_assembly	0	1	8386	8906
1998	state_assembly_district_71	state_assembly	0	1	5902	10019
1998	state_assembly_district_72	state_assembly	0	1	0	14316
1998	state_assembly_district_73	state_assembly	0	1	0	11397
1998	state_assembly_district_74	state_assembly	0	1	8068	10734
1998	state_assembly_district_75	state_assembly	0	1	0	12505
1998	state_assembly_district_76	state_assembly	0	1	6562	16062
1998	state_assembly_district_77	state_assembly	0	1	0	17835
1998	state_assembly_district_78	state_assembly	0	1	0	15828
1998	state_assembly_district_79	state_assembly	1	0	13189	9968
1998	state_assembly_district_80	state_assembly	1	0	12350	0
1998	state_assembly_district_81	state_assembly	0	1	6103	14305
1998	state_assembly_district_82	state_assembly	1	0	12141	8154
1998	state_assembly_district_83	state_assembly	1	0	16828	0
1998	state_assembly_district_84	state_assembly	1	0	14276	0
1998	state_assembly_district_85	state_assembly	0	1	6800	9873
1998	state_assembly_district_86	state_assembly	1	0	9136	8942
1998	state_assembly_district_87	state_assembly	0	1	5268	12080
1998	state_assembly_district_88	state_assembly	1	0	8783	6646
1998	state_assembly_district_89	state_assembly	1	0	13088	272
1998	state_assembly_district_90	state_assembly	0	1	6958	9904
1998	state_assembly_district_91	state_assembly	0	1	6563	9594
1998	state_assembly_district_92	state_assembly	1	0	12201	4207
1998	state_assembly_district_93	state_assembly	1	0	11732	6742
1998	state_assembly_district_94	state_assembly	1	0	12797	5967
1998	state_assembly_district_95	state_assembly	0	1	438	14476
1998	state_assembly_district_96	state_assembly	1	0	12747	0
1998	state_assembly_district_97	state_assembly	0	1	4336	13321
1998	state_assembly_district_98	state_assembly	1	0	15086	6481
1998	state_assembly_district_99	state_assembly	1	0	19527	0
1998	state_senate_district_1	state_senate	1	0	43648	0
1998	state_senate_district_3	state_senate	0	1	0	25384
1998	state_senate_district_5	state_senate	1	0	28434	24044
1998	state_senate_district_7	state_senate	0	1	0	38678
1998	state_senate_district_9	state_senate	0	1	25313	28247
1998	state_senate_district_11	state_senate	1	0	38360	17827
1998	state_senate_district_13	state_senate	1	0	33499	15314
1998	state_senate_district_15	state_senate	0	1	23333	27295
1998	state_senate_district_17	state_senate	1	0	31498	13187
1998	state_senate_district_19	state_senate	1	0	36160	15121
1998	state_senate_district_21	state_senate	0	1	21967	27353
1998	state_senate_district_23	state_senate	1	0	29720	18955
1998	state_senate_district_25	state_senate	0	1	17218	32464
1998	state_senate_district_27	state_senate	0	1	26935	35095
1998	state_senate_district_29	state_senate	0	1	19628	32644
1998	state_senate_district_31	state_senate	0	1	16354	34752
1998	state_senate_district_33	state_senate	1	0	49006	0
2000	US_house_district_1	US_house	1	0	177612	88885
2000	US_house_district_2	US_house	0	1	154632	163534
2000	US_house_district_3	US_house	0	1	97741	173505
2000	US_house_district_4	US_house	0	1	101811	163622
2000	US_house_district_5	US_house	0	1	49296	173893
2000	US_house_district_6	US_house	1	0	179205	96125
2000	US_house_district_7	US_house	0	1	100264	173007
2000	US_house_district_8	US_house	1	0	211388	71575
2000	US_house_district_9	US_house	1	0	239498	83720
2000	state_assembly_district_1	state_assembly	1	0	16132	12104
2000	state_assembly_district_2	state_assembly	1	0	20575	0
2000	state_assembly_district_3	state_assembly	1	0	20942	0
2000	state_assembly_district_4	state_assembly	1	0	14912	10833
2000	state_assembly_district_5	state_assembly	0	1	12559	14364
2000	state_assembly_district_6	state_assembly	1	0	17287	0
2000	state_assembly_district_7	state_assembly	0	1	7299	11403
2000	state_assembly_district_8	state_assembly	0	1	0	7575
2000	state_assembly_district_9	state_assembly	0	1	5863	14244
2000	state_assembly_district_10	state_assembly	0	1	0	14427
2000	state_assembly_district_11	state_assembly	0	1	0	16392
2000	state_assembly_district_12	state_assembly	0	1	0	16781
2000	state_assembly_district_13	state_assembly	0	1	0	18080
2000	state_assembly_district_14	state_assembly	1	0	20268	0
2000	state_assembly_district_15	state_assembly	0	1	0	15489
2000	state_assembly_district_16	state_assembly	0	1	0	11866
2000	state_assembly_district_17	state_assembly	0	1	0	17149
2000	state_assembly_district_18	state_assembly	0	1	0	9760
2000	state_assembly_district_19	state_assembly	0	1	0	18722
2000	state_assembly_district_20	state_assembly	0	1	0	17436
2000	state_assembly_district_21	state_assembly	0	1	10094	17434
2000	state_assembly_district_22	state_assembly	0	1	10510	18266
2000	state_assembly_district_23	state_assembly	0	1	0	18979
2000	state_assembly_district_24	state_assembly	1	0	26815	0
2000	state_assembly_district_25	state_assembly	0	1	0	18528
2000	state_assembly_district_26	state_assembly	1	0	14458	10261
2000	state_assembly_district_27	state_assembly	1	0	17041	8780
2000	state_assembly_district_28	state_assembly	1	0	14312	13854
2000	state_assembly_district_29	state_assembly	0	1	11684	12541
2000	state_assembly_district_30	state_assembly	1	0	18303	10247
2000	state_assembly_district_31	state_assembly	1	0	20586	0
2000	state_assembly_district_32	state_assembly	1	0	18637	8166
2000	state_assembly_district_33	state_assembly	1	0	27563	0
2000	state_assembly_district_34	state_assembly	1	0	18139	11984
2000	state_assembly_district_35	state_assembly	1	0	13655	11247
2000	state_assembly_district_36	state_assembly	1	0	13881	10566
2000	state_assembly_district_37	state_assembly	1	0	14867	10913
2000	state_assembly_district_38	state_assembly	1	0	19575	6976
2000	state_assembly_district_39	state_assembly	1	0	13568	9715
2000	state_assembly_district_40	state_assembly	1	0	17707	0
2000	state_assembly_district_41	state_assembly	1	0	19292	0
2000	state_assembly_district_42	state_assembly	1	0	14263	11627
2000	state_assembly_district_43	state_assembly	1	0	17578	8126
2000	state_assembly_district_44	state_assembly	0	1	8799	17177
2000	state_assembly_district_45	state_assembly	0	1	6997	14551
2000	state_assembly_district_46	state_assembly	0	1	10105	19857
2000	state_assembly_district_47	state_assembly	1	0	17683	12801
2000	state_assembly_district_48	state_assembly	0	1	0	20292
2000	state_assembly_district_49	state_assembly	1	0	11220	9973
2000	state_assembly_district_50	state_assembly	1	0	17272	0
2000	state_assembly_district_51	state_assembly	1	0	14998	8442
2000	state_assembly_district_52	state_assembly	1	0	12674	10998
2000	state_assembly_district_53	state_assembly	1	0	22476	0
2000	state_assembly_district_54	state_assembly	1	0	15805	8086
2000	state_assembly_district_55	state_assembly	1	0	17556	0
2000	state_assembly_district_56	state_assembly	1	0	20244	8191
2000	state_assembly_district_57	state_assembly	1	0	16935	0
2000	state_assembly_district_58	state_assembly	1	0	24484	0
2000	state_assembly_district_59	state_assembly	1	0	22729	0
2000	state_assembly_district_60	state_assembly	1	0	25050	0
2000	state_assembly_district_61	state_assembly	0	1	0	13703
2000	state_assembly_district_62	state_assembly	0	1	0	16180
2000	state_assembly_district_63	state_assembly	1	0	22640	0
2000	state_assembly_district_64	state_assembly	0	1	0	15296
2000	state_assembly_district_65	state_assembly	0	1	0	16051
2000	state_assembly_district_66	state_assembly	1	0	15547	9725
2000	state_assembly_district_67	state_assembly	1	0	16180	8585
2000	state_assembly_district_68	state_assembly	0	1	11205	12909
2000	state_assembly_district_69	state_assembly	1	0	15099	6491
2000	state_assembly_district_70	state_assembly	1	0	12071	11975
2000	state_assembly_district_71	state_assembly	0	1	7372	17512
2000	state_assembly_district_72	state_assembly	0	1	7615	16593
2000	state_assembly_district_73	state_assembly	0	1	10334	15266
2000	state_assembly_district_74	state_assembly	0	1	9426	15130
2000	state_assembly_district_75	state_assembly	0	1	9253	15120
2000	state_assembly_district_76	state_assembly	0	1	9441	20406
2000	state_assembly_district_77	state_assembly	0	1	0	22829
2000	state_assembly_district_78	state_assembly	0	1	4673	19871
2000	state_assembly_district_79	state_assembly	1	0	18510	13765
2000	state_assembly_district_80	state_assembly	1	0	14872	8921
2000	state_assembly_district_81	state_assembly	0	1	9680	20282
2000	state_assembly_district_82	state_assembly	1	0	18221	10998
2000	state_assembly_district_83	state_assembly	1	0	24329	7633
2000	state_assembly_district_84	state_assembly	1	0	21214	0
2000	state_assembly_district_85	state_assembly	0	1	8297	13692
2000	state_assembly_district_86	state_assembly	1	0	15569	11984
2000	state_assembly_district_87	state_assembly	0	1	8174	15073
2000	state_assembly_district_88	state_assembly	1	0	11078	10898
2000	state_assembly_district_89	state_assembly	1	0	18372	6904
2000	state_assembly_district_90	state_assembly	0	1	11596	11653
2000	state_assembly_district_91	state_assembly	0	1	0	17216
2000	state_assembly_district_92	state_assembly	1	0	15611	0
2000	state_assembly_district_93	state_assembly	1	0	18234	10844
2000	state_assembly_district_94	state_assembly	1	0	19275	9091
2000	state_assembly_district_95	state_assembly	0	1	11530	13789
2000	state_assembly_district_96	state_assembly	1	0	13487	9300
2000	state_assembly_district_97	state_assembly	0	1	7094	17357
2000	state_assembly_district_98	state_assembly	1	0	23141	0
2000	state_assembly_district_99	state_assembly	1	0	28405	0
2000	state_senate_district_2	state_senate	1	0	55223	0
2000	state_senate_district_4	state_senate	0	1	0	47980
2000	state_senate_district_6	state_senate	0	1	0	38812
2000	state_senate_district_8	state_senate	1	0	57041	29396
2000	state_senate_district_10	state_senate	1	0	41694	39046
2000	state_senate_district_12	state_senate	0	1	0	55692
2000	state_senate_district_14	state_senate	1	0	47658	24133
2000	state_senate_district_16	state_senate	0	1	37037	51076
2000	state_senate_district_18	state_senate	1	0	51662	24331
2000	state_senate_district_20	state_senate	1	0	65280	24033
2000	state_senate_district_22	state_senate	0	1	30897	39321
2000	state_senate_district_24	state_senate	0	1	0	55760
2000	state_senate_district_26	state_senate	0	1	0	69258
2000	state_senate_district_28	state_senate	1	0	61366	29519
