ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Dick Skare	Garey Bies	Scattering 		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	12	Wards 3 & 4	352	266	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	13	Wards 5 & 6	424	368	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	14	Wards 7 & 8	366	336	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	15	Wards 9 & 10	371	331	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	16	Wards 11 & 12	315	283	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	17	Wards 13 & 14	317	277	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	18	Wards 15 - 17	19	27	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	20	Wards 18, 19 & 25	27	30	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	21	Wards 20, 21 & 24	21	26	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	22	Wards 22 & 23	4	2	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	23	Ward 26	1	3	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	24	Ward 27	13	14	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	25	Ward 28	2	0	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Town	2	Ahnapee	31002	2		245	259	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Town	4	Carlton	31004	2	Wards 1 & 2	249	334	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Town	6	Casco	31006	2	Wards 1 & 2	243	353	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Town	10	Lincoln	31010	2		203	255	7		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Town	12	Luxemburg	31012	2	Wards 1 & 2	308	473	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Town	14	Montpelier	31014	2	Wards 1 - 3	343	416	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Town	16	Pierce	31016	2	Wards 1 & 2	217	224	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Town	18	Red River	31018	2	Wards 1 - 3	307	429	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Town	20	West Kewaunee	31020	2	Wards 1 - 3	286	388	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Village	111	Casco	31111	2		118	173	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	Village	146	Luxemburg	31146	2	Wards 1 & 2	568	612	4		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	City	201	Algoma	31201	2	Wards 1 - 7	872	677	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	31	Kewaunee	City	241	Kewaunee	31241	2	Wards 1 - 5	757	686	1		
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TOTAL	15055	15905	25		
ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Ted Zigmunt	Frank Lasee	Scattering 		
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Democratic	Republican			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	Town	10	Eaton	5010	3	Wards 1 & 2	445	403	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	Town	12	Glenmore	5012	4	Wards 1 & 2	297	333	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	Town	25	Ledgeview	5025	2	Wards 1 - 4	1421	1888	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	Town	28	New Denmark	5028	2	Wards 1 - 3	427	447	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	Town	34	Rockland	5034	2	Wards 1 & 2	423	548	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	Town	40	Wrightstown	5040	4	Wards 1 - 3	563	566	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	Village	106	Bellevue	5106	1	Wards 1 - 6	1781	1571	4		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	Village	106	Bellevue	5106	2	Wards 7 - 10	1786	1910	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	Village	116	Denmark	5116	3	Wards 1 - 3	596	443	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	Village	191	Wrightstown	5191	2	Wards 1 & 2	599	584	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	5	Brown	City	216	De Pere	5216	15	Wards 15 - 17	57	48	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	8	1	2	3	31	Kewaunee	Town	8	Franklin	31008	2		298	243	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Town	6	Cooperstown	36006	4	Wards 1 & 2	327	374	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Town	10	Franklin	36010	2	Wards 1 & 2	306	383	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Town	12	Gibson	36012	2	Wards 1 & 2	392	345	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Town	14	Kossuth	36014	2	Wards 1 - 3	660	513	3		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Town	22	Maple Grove	36022	2		167	254	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Town	26	Mishicot	36026	2	Wards 1 - 4	327	358	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Town	34	Two Creeks	36034	2		120	123	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Town	36	Two Rivers	36036	2	Wards 1 - 4	538	480	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Village	126	Francis Creek	36126	2		237	124	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Village	132	Kellnersville	36132	2		110	75	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Village	147	Maribel	36147	2		100	78	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	Village	151	Mishicot	36151	2	Wards 1 & 2	460	308	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	City	286	Two Rivers	36286	9	Wards 1 - 3	865	627	3		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	City	286	Two Rivers	36286	11	Wards 4, 5, 10 & 11	1024	750	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	City	286	Two Rivers	36286	12	Wards 6 & 7	816	495	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 2	6	1	2	2	36	Manitowoc	City	286	Two Rivers	36286	13	Wards 8 & 9	866	416	1		
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TOTAL	16008	14687	19		
ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Justin Krueger	Al Ott	Scattering 		
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Democratic	Republican			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	3	5	Brown	Town	18	Holland	5018	2	Wards 1 & 2	275	533	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	3	5	Brown	Town	26	Morrison	5026	2	Wards 1 & 2	275	560	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	Town	2	Brillion	8002	2	Wards 1 & 2	244	552	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	Town	8	Chilton	8008	2	Wards 1 & 2	177	409	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	Town	10	Harrison	8010	3	Wards 1 - 3, 6 & 8	1094	1703	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	Town	10	Harrison	8010	4	Wards 4, 5 & 7	1224	2190	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	2	8	Calumet	Town	10	Harrison	8010	5	Ward 9	0	0	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	Town	16	Stockbridge	8016	2	Wards 1 - 3	305	517	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	Town	18	Woodville	8018	2	Wards 1 & 2	142	372	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	Village	136	Hilbert	8136	3	Ward 3	0	0	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	Village	179	Sherwood	8179	4	Wards 1 - 8	510	1025	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	Village	181	Stockbridge	8181	2		150	228	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	2	8	Calumet	City	201	Appleton	8201	9	Ward 12	54	61	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	2	8	Calumet	City	201	Appleton	8201	10	Ward 13	220	281	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	2	8	Calumet	City	201	Appleton	8201	11	Ward 14	277	425	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	2	8	Calumet	City	201	Appleton	8201	12	Ward 40	421	466	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	2	8	Calumet	City	201	Appleton	8201	13	Ward 42	356	616	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	2	8	Calumet	City	201	Appleton	8201	14	Ward 43	434	452	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	2	8	Calumet	City	201	Appleton	8201	15	Ward 44	383	390	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	2	8	Calumet	City	201	Appleton	8201	16	Ward 45	202	136	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	City	201	Appleton	8201	17	Ward 46	19	50	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	City	201	Appleton	8201	18	Ward 47	3	12	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	City	201	Appleton	8201	19	Ward 48	0	0	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	City	206	Brillion	8206	4	Wards 1 - 6	460	1081	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	City	211	Chilton	8211	5	Wards 1 - 4	618	1148	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	2	8	Calumet	City	251	Menasha	8251	5	Wards 11, 15 - 17, 19 - 21 & 23	460	598	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	3	45	Outagamie	Town	6	Buchanan	45006	2	Wards 1 - 5 & 10	967	1332	5		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	3	45	Outagamie	Town	6	Buchanan	45006	3	Wards 6 - 9	511	704	3		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	3	45	Outagamie	Village	111	Combined Locks	45111	2	Wards 1 - 4	850	887	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	3	45	Outagamie	Village	141	Kimberly	45141	7	Wards 1 - 4	1093	836	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	6	1	3	3	45	Outagamie	Village	141	Kimberly	45141	8	Wards 5 - 8	775	620	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	3	45	Outagamie	Village	146	Little Chute	45146	13	Wards 5 & 11	400	395	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	3	45	Outagamie	Village	146	Little Chute	45146	14	Wards 6 & 7	901	874	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	3	45	Outagamie	City	201	Appleton	45201	86	Ward 58	1	1	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	3	45	Outagamie	City	241	Kaukauna	45241	13	Wards 12, 17 & 18	70	51	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	3	45	Outagamie	City	241	Kaukauna	45241	14	Ward 13	110	81	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 3	8	1	3	3	45	Outagamie	City	241	Kaukauna	45241	16	Wards 14 - 16, 19 & 20	100	103	0		
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TOTAL	14081	19689	25		
ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Sam Dunlop	Phil Montgomery	Scattering 		
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Democratic	Republican			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	Village	102	Allouez	5102	5	Wards 1 & 2	886	673	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	Village	102	Allouez	5102	6	Wards 3 & 4	1059	1016	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	Village	102	Allouez	5102	7	Wards 5 & 6	859	1328	5		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	Village	102	Allouez	5102	9	Wards 7 - 9	796	913	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	10	Wards 1 & 2	550	595	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	11	Wards 3 & 4	572	708	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	12	Wards 5 & 6	533	906	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	13	Wards 7 & 8	489	964	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	15	Ward 10	400	669	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	16	Wards 11 & 12	624	1111	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	City	216	De Pere	5216	10	Wards 1 - 3	1477	1691	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	City	216	De Pere	5216	11	Wards 4 - 7	1615	1247	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	City	216	De Pere	5216	12	Wards 8 - 10	1525	939	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	City	216	De Pere	5216	13	Wards 11 - 14	1669	1661	3		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 4	8	2	4	3	5	Brown	City	231	Green Bay	5231	95	Ward 46	466	685	2		
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TOTAL	13520	15106	21		
ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Tom Nelson	Jim Steineke	Scattering 		
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Democratic	Republican			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	5	Brown	Town	24	Lawrence	5024	2	Wards 1 - 3	1160	999	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	5	Brown	Village	104	Ashwaubenon	5104	14	Ward 9	385	193	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	5	Brown	Village	126	Hobart	5126	1	Wards 1 - 7	1631	1700	3		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	5	Brown	City	231	Green Bay	5231	96	Ward 47	585	240	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	5	Brown	City	231	Green Bay	5231	97	Ward 48	712	646	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	5	Brown	City	231	Green Bay	5231	98	Ward 49	511	501	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Town	2	Black Creek	45002	4	Wards 1 & 2	388	225	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Town	10	Cicero	45010	2	Wards 1 & 2	305	170	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Town	18	Freedom	45018	2	Wards 1 - 7	1932	1038	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Town	26	Kaukauna	45026	2	Wards 1 & 2	356	279	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Town	34	Oneida	45034	2	Wards 1 - 5	1282	591	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Town	36	Osborn	45036	2	Wards 1 & 2	368	212	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Town	38	Seymour	45038	2	Wards 1 & 2	350	215	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Town	40	Vandenbroek	45040	2	Wards 1 & 2	476	329	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Village	107	Black Creek	45107	2	Wards 1 & 2	408	179	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Village	137	Howard	45137	1	Ward 17	0	0	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Village	146	Little Chute	45146	10	Wards 1, 4, 9, 10 & 15	1385	544	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Village	146	Little Chute	45146	11	Wards 2, 8, 12, 13, 16 - 19	381	121	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Village	155	Nichols	45155	2		66	46	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	Village	191	Wrightstown	45191	1	Ward 3	46	48	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	City	201	Appleton	45201	83	Ward 55	21	37	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	City	241	Kaukauna	45241	7	Wards 1 - 3	1339	413	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 5	8	2	5	3	45	Outagamie	City	241	Kaukauna	45241	8	Wards 4 - 6	1406	522	1		
